iter	Passed	Remaining
1612	4494	23371
1613	4497	23368
1614	4500	23364
1615	4502	23360
1616	4505	23356
1617	4508	23353
1618	4510	23351
1619	4513	23347
1620	4516	23343
1621	4519	23341
1622	4521	23338
1623	4524	23333
1624	4527	23331
1625	4529	23328
1626	4532	23324
1627	4534	23321
1628	4537	23318
1629	4540	23316
1630	4543	23313
1631	4546	23309
1632	4549	23308
1633	4552	23310
1634	4556	23312
1635	4559	23311
1636	4562	23309
1637	4565	23309
1638	4569	23308
1639	4572	23306
1640	4574	23301
1641	4577	23298
1642	4580	23296
1643	4582	23293
1644	4585	23291
1645	4589	23291
1646	4592	23289
1647	4595	23287
1648	4597	23283
1649	4600	23279
1650	4602	23275
1651	4605	23271
1652	4607	23267
1653	4610	23264
1654	4613	23261
1655	4615	23258
1656	4618	23256
1657	4622	23257
1658	4625	23258
1659	4629	23259
1660	4632	23258
1661	4635	23254
1662	4637	23250
1663	4640	23247
1664	4643	23243
1665	4645	23240
1666	4648	23234
1667	4651	23233
1668	4654	23231
1669	4657	23231
1670	4660	23228
1671	4663	23226
1672	4665	23223
1673	4668	23220
1674	4671	23217
1675	4673	23213
1676	4676	23208
1677	4678	23204
1678	4681	23200
1679	4683	23195
1680	4686	23190
1681	4688	23186
1682	4691	23183
1683	4694	23181
1684	4696	23177
1685	4699	23174
1686	4702	23169
1687	4704	23165
1688	4707	23163
1689	4710	23160
1690	4712	23156
1691	4715	23153
1692	4717	23149
1693	4720	23144
1694	4723	23141
1695	4725	23136
1696	4727	23132
1697	4730	23128
